Analyte ID	Analyte Name	State Code	PWSID	System Name	System Type	Retail Population Served	Adjusted Total Population Served	Source Water Type	Water Facility ID	Water Facility Type	Sampling Point ID	Sampling Point Type	Source Type Code	Sample Type Code	Laboratory Assigned ID	Six Year ID	Sample ID	Sample Collection Date	Detection Limit Value	Detection Limit Unit	Detection Limit Code	Detect	Value	Unit	Presence Indicator Code	Residual Field Free Chlorine mg/L	Residual Field Total Chlorine mg/L
1094	ASBESTOS	CA	CA5500171	SIERRA OUTDOOR SCHOOL	NTNC	250	250	GW	591230	WL	631567		RW			30757963		2011-08-23 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5500171	SIERRA OUTDOOR SCHOOL	NTNC	250	250	GW	591232	WL	631569		RW			31615815		2011-08-23 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5500363	TUD-WARDS FERRY RANCHES	C	54	54	GW	591331	WL	631668		RW			30033262		2009-12-22 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5510004	PINECREST PERMITTEES ASSN	C	2500	2500	SW	591351	WL	631688		RW			29096946		2006-07-12 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5510006	MI-WUK VILLAGE MUT WTR CO	C	1737	1737	SW	591362	RS	631699		RW			29386491		2011-09-19 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5510026	PHOENIX LAKE ESTATES CC MWC	C	870	870	GW	591461	WL	631798		RW			36586904		2006-10-16 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5510030	TUD - MONTE GRANDE WATER SYSTEM	C	548	548	SW	591480	WL	631817		RW			36496775		2009-11-02 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5510033	TUD-SCENIC VIEW/SCENIC BROOK	C	640	640	SW	591483	WL	631820		RW			30850385		2007-10-17 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5602402	RIO SCHOOL DIST/ EL RIO SCHOOL	C	9	9	GW	591678	WL	632015		RW			34896337		2011-08-22 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5610002	FILLMORE WATER DEPT	C	15222	15222	GW	591751	WL	633409		RW			35199521		2007-12-11 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5610007	OXNARD WATER DEPT	C	197899	197899	GW	591798	WL	633456		RW			31582541		2007-09-19 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5610007	OXNARD WATER DEPT	C	197899	197899	GW	591803	WL	633461		RW			28959184		2008-06-11 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5610024	CASITAS MUNICIPAL WATER DIST	C	69015	69098	SW	592012	WL	633670		RW			35687392		2010-07-19 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5610050	CALLEGUAS MUNICIPAL WATER DIST	C	0	155682	SW	592080	WL	633738		RW			30496783		2008-02-21 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5700509	CLARKSBURG MIDDLE SCHOOL	NTNC	400	400	GW	592218	WL	633876		RW			35954323		2007-08-28 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710001	CITY OF DAVIS	C	67298	67298	SW	592397	WL	634055		RW			36584817		2006-04-06 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710004	KNIGHTS LANDING SVC. DIST.	C	1300	1300	GW	592451	WL	634109		RW			29004274		2009-02-15 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710005	CITY OF WINTERS	C	7098	7098	GW	592454	WL	634112		RW			35193418		2007-06-07 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710005	CITY OF WINTERS	C	7098	7098	GW	592455	WL	634113		RW			29383179		2006-05-30 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710005	CITY OF WINTERS	C	7098	7098	GW	592456	WL	634114		RW			35822276		2006-05-30 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710005	CITY OF WINTERS	C	7098	7098	GW	592457	WL	634115		RW			29090244		2006-05-30 00:00:00.000	0.200000000	MFL	MDL	0					
